ID,DATE,CURRENCY,"PX_LAST(dates=RANGE(2010-01-01,2022-03-01))"
IOIPG MK Equity,2015-06-26,MYR,1.7174882
IOIPG MK Equity,2015-06-27,MYR,
IOIPG MK Equity,2015-06-28,MYR,
IOIPG MK Equity,2015-06-29,MYR,1.7174882
IOIPG MK Equity,2015-06-30,MYR,1.7174882
IOIPG MK Equity,2015-07-01,MYR,1.79175796
IOIPG MK Equity,2015-07-02,MYR,1.7639067999999998
IOIPG MK Equity,2015-07-03,MYR,1.7731905199999998
IOIPG MK Equity,2015-07-04,MYR,
IOIPG MK Equity,2015-07-05,MYR,
IOIPG MK Equity,2015-07-06,MYR,1.7453393599999998
IOIPG MK Equity,2015-07-07,MYR,1.7731905199999998
IOIPG MK Equity,2015-07-08,MYR,1.69892076
IOIPG MK Equity,2015-07-09,MYR,1.6710696
IOIPG MK Equity,2015-07-10,MYR,1.70820448
IOIPG MK Equity,2015-07-11,MYR,
IOIPG MK Equity,2015-07-12,MYR,
IOIPG MK Equity,2015-07-13,MYR,1.72677192
IOIPG MK Equity,2015-07-14,MYR,1.7639067999999998
IOIPG MK Equity,2015-07-15,MYR,1.73605564
IOIPG MK Equity,2015-07-16,MYR,1.78247424
IOIPG MK Equity,2015-07-17,MYR,
IOIPG MK Equity,2015-07-18,MYR,
IOIPG MK Equity,2015-07-19,MYR,
IOIPG MK Equity,2015-07-20,MYR,1.7546230799999998
IOIPG MK Equity,2015-07-21,MYR,1.7731905199999998
IOIPG MK Equity,2015-07-22,MYR,1.7639067999999998
IOIPG MK Equity,2015-07-23,MYR,1.7639067999999998
IOIPG MK Equity,2015-07-24,MYR,1.7453393599999998
IOIPG MK Equity,2015-07-25,MYR,
IOIPG MK Equity,2015-07-26,MYR,
IOIPG MK Equity,2015-07-27,MYR,1.7453393599999998
IOIPG MK Equity,2015-07-28,MYR,1.7546230799999998
IOIPG MK Equity,2015-07-29,MYR,1.7453393599999998
IOIPG MK Equity,2015-07-30,MYR,1.7639067999999998
IOIPG MK Equity,2015-07-31,MYR,1.7731905199999998
IOIPG MK Equity,2015-08-01,MYR,
IOIPG MK Equity,2015-08-02,MYR,
IOIPG MK Equity,2015-08-03,MYR,1.7731905199999998
IOIPG MK Equity,2015-08-04,MYR,1.7639067999999998
IOIPG MK Equity,2015-08-05,MYR,1.7731905199999998
IOIPG MK Equity,2015-08-06,MYR,1.7546230799999998
IOIPG MK Equity,2015-08-07,MYR,1.7639067999999998
IOIPG MK Equity,2015-08-08,MYR,
IOIPG MK Equity,2015-08-09,MYR,
IOIPG MK Equity,2015-08-10,MYR,1.72677192
IOIPG MK Equity,2015-08-11,MYR,1.7174882
IOIPG MK Equity,2015-08-12,MYR,1.70820448
IOIPG MK Equity,2015-08-13,MYR,1.70820448
IOIPG MK Equity,2015-08-14,MYR,1.7174882
IOIPG MK Equity,2015-08-15,MYR,
IOIPG MK Equity,2015-08-16,MYR,
IOIPG MK Equity,2015-08-17,MYR,1.7174882
IOIPG MK Equity,2015-08-18,MYR,1.7174882
IOIPG MK Equity,2015-08-19,MYR,1.7453393599999998
IOIPG MK Equity,2015-08-20,MYR,1.73605564
IOIPG MK Equity,2015-08-21,MYR,1.72677192
IOIPG MK Equity,2015-08-22,MYR,
IOIPG MK Equity,2015-08-23,MYR,
IOIPG MK Equity,2015-08-24,MYR,1.69892076
